Timestamp,Object Name,Event,MasterZone_ActuatorNode_actuator_Switch 0 Status,MasterZone_ActuatorNode_actuator_Switch 1 Status,MasterZone_ActuatorNode_actuator_Switch 2 Status,MasterZone_ActuatorNode_actuator_Switch 3 Status,MasterZone_SpeakerNode_speaker_Played Message,MasterZone_GateNode_relay_Switch 0 Status,MasterZone_ActuatorNode_actuator_Connected Device 3,MasterZone_ActuatorNode_actuator_Connected Device 2,MasterZone_ActuatorNode_actuator_Connected Device 1,MasterZone_ActuatorNode_actuator_Connected Device 0,MasterZone_GateNode_relay_Connected Device 0,MasterZone_BuzzerNode_actuator_Connected Device 0,MasterZone_GateNode_scanner_ID,MasterZone_BuzzerNode_actuator_Switch 0 Status
2024-11-20T02:54:46.598796200,MasterZone_ControlNode,Received (8) new packet from slave node [MasterZone_ActuatorNode],false,false,false,false,Uninitialized,false,Disconnected,Disconnected,Disconnected,Disconnected,MasterZone_GateNode_motor,MasterZone_BuzzerNode_actuator_buzzer,Uninitialized,false
2024-11-20T02:54:46.754850700,MasterZone_ControlNode,Gate [MasterZone_GateNode] queried permission status for ID [Uninitialized]. Permission [DENIED],false,false,false,false,Uninitialized,false,Disconnected,Disconnected,Disconnected,Disconnected,MasterZone_GateNode_motor,MasterZone_BuzzerNode_actuator_buzzer,Uninitialized,false
2024-11-20T02:54:46.785707,MasterZone_ControlNode,Received (2) new packet from slave node [MasterZone_GateNode],false,false,false,false,Uninitialized,false,Disconnected,Disconnected,Disconnected,Disconnected,MasterZone_GateNode_motor,MasterZone_BuzzerNode_actuator_buzzer,Uninitialized,false
2024-11-20T02:54:46.847317100,MasterZone_ControlNode,Received (1) new packet from slave node [MasterZone_SpeakerNode],false,false,false,false,Uninitialized,false,Disconnected,Disconnected,Disconnected,Disconnected,MasterZone_GateNode_motor,MasterZone_BuzzerNode_actuator_buzzer,Uninitialized,false
2024-11-20T02:54:46.893153600,MasterZone_ControlNode,Received (2) new packet from slave node [MasterZone_BuzzerNode],false,false,false,false,Uninitialized,false,Disconnected,Disconnected,Disconnected,Disconnected,MasterZone_GateNode_motor,MasterZone_BuzzerNode_actuator_buzzer,Uninitialized,false
2024-11-20T02:54:47.160353700,MasterZone_ControlNode,Received (8) new packet from slave node [MasterZone_ActuatorNode],false,false,false,false,Uninitialized,false,Disconnected,Disconnected,Disconnected,Disconnected,MasterZone_GateNode_motor,MasterZone_BuzzerNode_actuator_buzzer,Uninitialized,false
2024-11-20T02:54:47.334485,MasterZone_ControlNode,Gate [MasterZone_GateNode] queried permission status for ID [Uninitialized]. Permission [DENIED],false,false,false,false,Uninitialized,false,Disconnected,Disconnected,Disconnected,Disconnected,MasterZone_GateNode_motor,MasterZone_BuzzerNode_actuator_buzzer,Uninitialized,false
2024-11-20T02:54:47.363243900,MasterZone_ControlNode,Received (2) new packet from slave node [MasterZone_GateNode],false,false,false,false,Uninitialized,false,Disconnected,Disconnected,Disconnected,Disconnected,MasterZone_GateNode_motor,MasterZone_BuzzerNode_actuator_buzzer,Uninitialized,false
2024-11-20T02:54:47.364374800,MasterZone_ControlNode,Received new packet from control node [Zone1_ControlNode],false,false,false,false,Uninitialized,false,Disconnected,Disconnected,Disconnected,Disconnected,MasterZone_GateNode_motor,MasterZone_BuzzerNode_actuator_buzzer,Uninitialized,false
2024-11-20T02:54:47.394174600,MasterZone_ControlNode,Received (1) new packet from slave node [MasterZone_SpeakerNode],false,false,false,false,Uninitialized,false,Disconnected,Disconnected,Disconnected,Disconnected,MasterZone_GateNode_motor,MasterZone_BuzzerNode_actuator_buzzer,Uninitialized,false
